algorithm,column,f_total,f_ref,gap,sparsity,time
A1-Prox-2Phase,45,18.83816200121882,18.83816139021186,6.11006960582472e-07,0.0,0.047998905181884766
A1-Prox-2Phase,46,19.015632335881623,19.015631645333922,6.905477007990157e-07,0.0,0.04622220993041992
A1-Prox-2Phase,47,18.343337657291105,18.34333701170385,6.455872565425125e-07,0.005,0.04372215270996094
A1-Prox-2Phase,48,18.64459925415198,18.644598466999238,7.871527429870184e-07,0.0,0.04399895668029785
A1-Prox-2Phase,49,19.22543270186027,19.225431833385578,8.684746930498477e-07,0.0,0.04469108581542969
A2-mu=1e-3,0,18.583218595566798,18.58321715798089,1.4375859080928421e-06,0.0,0.11942195892333984
A2-mu=1e-3,1,17.84700481157619,17.847003148211627,1.6633645643082673e-06,0.0,0.1210932731628418
A2-mu=1e-3,2,18.230003962781083,18.230002819932793,1.1428482906694626e-06,0.0,0.12108588218688965
A2-mu=1e-3,3,18.564976849719336,18.564974835233198,2.0144861387905166e-06,0.0,0.12113499641418457
A2-mu=1e-3,4,17.99689511687595,17.996893973728284,1.143147667193034e-06,0.0,0.1211237907409668
A2-mu=1e-3,5,19.046957168201754,19.0469551408465,2.0273552543415008e-06,0.0,0.12114977836608887
A2-mu=1e-3,6,18.25696587631875,18.256963221275626,2.65504312224607e-06,0.0,0.12112712860107422
A2-mu=1e-3,7,18.792761338401625,18.792760336240008,1.0021616176913994e-06,0.0,0.12117290496826172
A2-mu=1e-3,8,18.72774877339047,18.727747028042796,1.7453476743867213e-06,0.0,0.12110781669616699
A2-mu=1e-3,9,19.062031988799053,19.06203059355422,1.3952448334464407e-06,0.0,0.12111067771911621
A2-mu=1e-3,10,19.09210119976324,19.09209825158047,2.9481827681365758e-06,0.0,0.12109208106994629
A2-mu=1e-3,11,18.369700402712382,18.369698746959155,1.6557532269700914e-06,0.0,0.12128186225891113
A2-mu=1e-3,12,18.598937995027605,18.598935960174245,2.034853359589306e-06,0.0,0.12113571166992188
A2-mu=1e-3,13,18.208463350578658,18.2084610431451,2.3074335580020033e-06,0.0,0.1210780143737793
